Fournisseurs,n_facture,Montant,Date_de_facture,Date_echeance,n_sem,Mis_en_paie,EMAIL,id_fournisseurs
Luthor Corp,F1920177,423.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:26,contact@luther.fr,4
Luthor Corp,F1920178,265.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:30,contact@luther.fr,4
Drake & Sweeney,FAC7757,780.0,2021-03-17,2021-04-16,15,2021-12-26 19:34:30,,5
Slusho,FV-18156651,1343.0,2020-12-08,2021-04-16,15,2021-12-26 19:34:30,contact@slusho.fr,6
Pyramid Transnational,2021/5855,322043.02,2021-03-19,2021-04-19,16,2021-12-26 19:37:45,,7
Pyramid Transnational,2021/6133,319.99,2021-03-23,2021-04-23,16,2021-12-26 19:37:45,,7
Luthor Corp,F1920217,423.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920218,3333.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920226,260.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920227,373.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920228,3125.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920229,1832.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920230,553.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920246,265.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920247,310.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920261,373.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Luthor Corp,F1920262,1485.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
Sienar Technologies,11361,14180.0,2021-02-22,2021-04-25,16,2021-12-26 19:37:45,,8
Beaumont-Liégard,SI_02587,2720.2,2021-03-28,2021-04-27,17,2022-01-08 16:43:15,,9
Cordell SA,57622,8757.0,2021-03-29,2021-04-29,17,2022-01-08 16:43:15,,10
Cordell SA,57626,240.0,2021-03-29,2021-04-29,17,2022-01-08 16:43:15,,10
Luthor Corp,F1920283,1585.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920288,3045.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920289,310.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920312,328.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920313,4645.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920342,2845.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920343,688.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920344,2765.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920345,106794.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920377,9169.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920379,18.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920399,795.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920400,51559.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920401,173014.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920402,1990.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920403,210958.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920404,925.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920406,138592.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
Luthor Corp,F1920407,1260.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:16,contact@luther.fr,4
Tech Con,2021-01225,388.76,2021-03-30,2021-04-29,17,2022-01-08 16:43:16,,11
Geugène Industrie,2103077,1305.79,2021-03-31,2021-04-30,17,2022-01-08 16:43:16,contact@geugene.fr,3
Sienar Technologies,11979,653.0,2021-03-31,2021-04-30,17,2022-01-08 16:43:16,,8
Sienar Technologies,11990,805.0,2021-04-01,2021-05-01,17,2022-01-08 16:43:16,,8
Factory Mode,F21-03-067,6609.6,2021-03-18,2021-05-02,17,2022-01-08 16:43:16,,12
Altra Automotive,FF29010,5830.8,2021-11-30,2021-05-03,18,2022-01-08 17:10:26,,13
Umbrella Corporation,2021-05-03 FA02,9185.0,2021-05-03,2021-05-04,18,2022-01-08 17:10:26,,14
LRCorp,10208,128722.0,2021-05-06,2021-05-06,18,2022-01-08 17:10:26,,15
Luthor Corp,F1920435,132727.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920449,12641.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920450,552.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920451,373.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920500,47651.8,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920501,260.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920526,383.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920529,925.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920530,1030.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Luthor Corp,F1920532,423.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
Sienar Technologies,12018,805.0,2021-04-06,2021-05-06,18,2022-01-08 17:10:26,,8
Drake & Sweeney,Fac7791,720.0,2021-04-07,2021-05-07,18,2022-01-08 17:10:26,,5
Pyramid Transnational,2021/6167,335.76,2021-04-07,2021-05-07,18,2022-01-08 17:10:26,,7
Cordell SA,57685,7817.0,2021-04-08,2021-05-08,18,2022-01-08 17:10:26,,10
Sienar Technologies,11630,530.0,2021-03-10,2021-05-09,18,2022-01-08 17:10:26,,8
Sienar Technologies,13584,-57.0,2021-06-22,2021-05-09,18,2022-01-08 17:10:26,,8
Altra Automotive,FF30191,287761.0,2021-04-30,2021-05-10,19,2021-12-22 21:54:50,,13
Sienar Technologies,11686,2680.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
Sienar Technologies,11691,1013.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
Sienar Technologies,11768,245.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
Zorg Corporation,03-038121787,294.28,2021-04-21,2021-05-11,19,2021-12-22 21:54:50,,16
Zorg Corporation,03-038135431,545.5699999999999,2021-04-21,2021-05-11,19,2021-12-22 21:54:50,,16
Sienar Technologies,12237,805.0,2021-04-13,2021-05-13,19,2021-12-22 21:54:50,,8
Sienar Technologies,12245,300.0,2021-04-13,2021-05-13,19,2021-12-22 21:54:50,,8
Le Yankee,A/2108    A4940,3413.0,2021-05-14,2021-05-14,19,2021-12-22 21:54:50,,17
Geugène Industrie,2104007,2939.48,2021-04-15,2021-05-15,19,2021-12-22 21:54:50,contact@geugene.fr,3
Luthor Corp,F1920574,5742.5,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920589,773.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920590,47337.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920591,340.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920592,653.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920593,1085.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920594,1090.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920595,2065.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920641,60.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920647,48607.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920648,373.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
Luthor Corp,F1920649,178.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920650,260.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920651,1443.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920663,322651.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920664,310.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920665,438.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920666,265.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920667,310.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
Sienar Technologies,10764,653.0,2021-01-22,2021-05-17,20,2021-12-26 22:47:50,,8
Sienar Technologies,14360,321.0,2020-12-16,2021-05-17,20,2021-12-26 22:47:50,,8
Wernham Hogg Paper Company,008/2021,1271.0,2021-05-11,2021-05-17,20,2021-12-26 22:47:50,,18
Geugène Industrie,2103153,91497.0,2021-05-11,2021-05-18,20,2021-12-26 22:47:50,contact@geugene.fr,3
Sienar Technologies,11815,71585.0,2021-03-19,2021-05-18,20,2021-12-26 22:47:50,,8
Cordell SA,57722,20680.0,2021-04-19,2021-05-19,20,2021-12-26 22:47:50,,10
Luthor Corp,F1920739,828.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920740,191.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920741,490.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920742,373.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920788,3075.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920790,840.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920791,373.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920792,215.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Luthor Corp,F1920974,-20.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
Cordell SA,57677,5713.0,2021-03-31,2021-05-24,21,2021-12-26 22:49:15,,10
Drake & Sweeney,FAC7825,4191.0,2021-04-24,2021-05-24,21,2021-12-26 22:49:15,,5
Lacuna Inc,7370,2079.410000000003,2021-05-11,2021-05-25,21,2021-12-26 22:49:15,contact@lacunainc.fr,19
Vladis Entreprise,164/1,341.0,2021-03-26,2021-05-25,21,2021-12-26 22:49:15,contact@vladisentreprise.fr,20
Luthor Corp,F1920825,575.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920826,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920827,398.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920838,71445.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920839,26893.8,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920840,753.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920841,1915.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920842,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920851,428.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920864,275.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920865,310.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
Luthor Corp,F1920876,423.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920889,1123.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920890,8350.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920891,1213.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920897,180061.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920898,640.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920899,428.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920900,60.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920901,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920902,1916.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920927,7797.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920928,1778.049999999988,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920967,64443.5,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Luthor Corp,F1920968,14013.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
Sofroco-Gedec,W7214783,2067.760000000009,2021-04-28,2021-05-28,21,2021-12-26 22:49:16,contact@sofroco-gedec.fr,21
Cordell SA,57807,2756.0,2021-04-29,2021-05-29,21,2021-12-26 22:49:16,,10
Sienar Technologies,12564,3791.0,2021-04-29,2021-05-29,21,2021-12-26 22:49:16,,8
Drake & Sweeney,FAC7835,2153.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
Drake & Sweeney,FAC7836,2386.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
Drake & Sweeney,FAC7854,4191.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
Geugène Industrie,2104076,2924.339999999997,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,contact@geugene.fr,3
Bross & Clackwell,P21040186,18293.0,2021-04-30,2021-05-31,22,2021-12-26 22:51:54,,22
Bross & Clackwell,P21060024,35995.0,2021-06-11,2021-05-31,22,2021-12-26 22:51:54,,22
World Company,9475942057,436.61,2021-03-09,2021-05-31,22,2021-12-26 22:51:54,,23
World Company,9475955458,439.36,2021-03-09,2021-05-31,22,2021-12-26 22:51:54,,23
World Company,9475968550,403.02,2021-03-10,2021-05-31,22,2021-12-26 22:51:54,,23
World Company,9476206864,866.11,2021-03-26,2021-05-31,22,2021-12-26 22:51:54,,23
World Company,9476400756,433.38,2021-04-08,2021-05-31,22,2021-12-26 22:51:54,,23
Groupe W.,27953,6101.0,2021-02-22,2021-06-02,22,2021-12-26 22:51:54,,24
Luthor Corp,F1920980,1993.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1920996,2266.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921058,4509.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921072,2285.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921086,50261.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921087,1645.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921090,275.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921093,613.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921094,785.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921095,570.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Luthor Corp,F1921116,253.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
Sienar Technologies,12640,245.0,2021-05-05,2021-06-04,22,2021-12-26 22:51:54,,8
Altra Automotive,FF30434,5455.0,2021-05-31,2021-06-07,23,2021-12-26 22:52:35,,13
Sienar Technologies,12121,10863.0,2021-04-09,2021-06-08,23,2021-12-26 22:52:35,,8
Vladis Entreprise,190/1,52.0,2021-04-09,2021-06-08,23,2021-12-26 22:52:35,contact@vladisentreprise.fr,20
Luthor Corp,F1921118,310.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921119,448.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921121,4885.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921122,260.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921123,753.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921129,205.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921130,310.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921131,423.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921144,925.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921145,34260.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921146,373.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921147,178.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921148,640.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921149,654.12,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921177,3364.94,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921178,720.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921180,988.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921183,1825.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921203,5597.83,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Luthor Corp,F1921204,1013.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
Sienar Technologies,12239,1605.0,2021-04-13,2021-06-12,23,2021-12-26 22:52:35,,8
Sienar Technologies,12254,395.0,2021-04-14,2021-06-13,23,2021-12-26 22:52:35,,8
Cross Technological Enterprises ,21/01166,773.0,2021-04-09,2021-06-14,24,2021-12-26 22:54:01,,25
Geugène Industrie,2105004,2559.44,2021-05-15,2021-06-14,24,2021-12-26 22:54:01,contact@geugene.fr,3
Wayne Enterprises,202106045,1380.0,2021-06-07,2021-06-14,24,2021-12-26 22:54:01,,26
Wernham Hogg Paper Company,009/2021,3089.0,2021-06-07,2021-06-14,24,2021-12-26 22:54:01,,18
Luthor Corp,F1921268,465.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921269,640.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921287,25657.35,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921288,3575.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921289,3005.64,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921290,1048.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921314,265.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921315,220.15,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921316,553.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921333,435.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921334,260.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921358,2153.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921359,1195.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921360,260.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Luthor Corp,F1921361,528.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
Sienar Technologies,12379,805.0,2021-04-19,2021-06-18,24,2021-12-26 22:54:01,,8
Sienar Technologies,12947,300.0,2021-05-20,2021-06-19,24,2021-12-26 22:54:01,,8
Vladis Entreprise,203/1,373.0,2021-04-20,2021-06-19,24,2021-12-26 22:54:01,contact@vladisentreprise.fr,20
Rosen Corporation,2521465,341.72,2021-06-15,2021-06-22,25,2021-12-26 22:54:15,contact@rosencorporation.fr,27
Luthor Corp,F1921384,940.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921390,42273.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921391,465.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921392,552.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921393,1493.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921394,43.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921408,994.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921443,-1642.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921472,1149.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921498,54655.8,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921499,1172.4,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921500,1747.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921501,1395.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921502,423.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921504,265.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
Sienar Technologies,12504,300.0,2021-04-26,2021-06-25,25,2021-12-26 22:54:15,,8
Aaltra,PI-20128920210611a,41567.48,2021-06-30,2021-06-26,25,2021-12-26 22:54:15,,28
Vladis Entreprise,221/1,375.0,2021-04-27,2021-06-26,25,2021-12-26 22:54:15,contact@vladisentreprise.fr,20
Luthor Corp,F1921530,260.0,2021-03-29,2021-06-27,25,2021-12-26 22:54:15,contact@luther.fr,4
