id,Fournisseurs,n_facture,Montant,Date_de_facture,Date_echeance,n_sem,Mis_en_paie,EMAIL,id_fournisseurs
99,Luthor Corp,F1920595,2065.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
100,Luthor Corp,F1920641,60.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
101,Luthor Corp,F1920647,48607.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
102,Luthor Corp,F1920648,373.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
103,Luthor Corp,F1920649,178.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
104,Luthor Corp,F1920650,260.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
105,Luthor Corp,F1920651,1443.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
106,Luthor Corp,F1920663,322651.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
107,Luthor Corp,F1920664,310.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
108,Luthor Corp,F1920665,438.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
109,Luthor Corp,F1920666,265.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
110,Luthor Corp,F1920667,310.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:50,contact@luther.fr,4
111,Sienar Technologies,10764,653.0,2021-01-22,2021-05-17,20,2021-12-26 22:47:50,,8
112,Sienar Technologies,14360,321.0,2020-12-16,2021-05-17,20,2021-12-26 22:47:50,,8
113,Wernham Hogg Paper Company,008/2021,1271.0,2021-05-11,2021-05-17,20,2021-12-26 22:47:50,,18
114,Geugène Industrie,2103153,91497.0,2021-05-11,2021-05-18,20,2021-12-26 22:47:50,contact@geugene.fr,3
115,Sienar Technologies,11815,71585.0,2021-03-19,2021-05-18,20,2021-12-26 22:47:50,,8
116,Cordell SA,57722,20680.0,2021-04-19,2021-05-19,20,2021-12-26 22:47:50,,10
117,Luthor Corp,F1920739,828.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
118,Luthor Corp,F1920740,191.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
119,Luthor Corp,F1920741,490.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
120,Luthor Corp,F1920742,373.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
121,Luthor Corp,F1920788,3075.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
122,Luthor Corp,F1920790,840.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
123,Luthor Corp,F1920791,373.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
124,Luthor Corp,F1920792,215.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
125,Luthor Corp,F1920974,-20.0,2021-02-19,2021-05-20,20,2021-12-26 22:47:50,contact@luther.fr,4
126,Cordell SA,57677,5713.0,2021-03-31,2021-05-24,21,2021-12-26 22:49:15,,10
127,Drake & Sweeney,FAC7825,4191.0,2021-04-24,2021-05-24,21,2021-12-26 22:49:15,,5
128,Lacuna Inc,7370,2079.410000000003,2021-05-11,2021-05-25,21,2021-12-26 22:49:15,contact@lacunainc.fr,19
129,Vladis Entreprise,164/1,341.0,2021-03-26,2021-05-25,21,2021-12-26 22:49:15,contact@vladisentreprise.fr,20
130,Luthor Corp,F1920825,575.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
131,Luthor Corp,F1920826,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
132,Luthor Corp,F1920827,398.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
133,Luthor Corp,F1920838,71445.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
134,Luthor Corp,F1920839,26893.8,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
135,Luthor Corp,F1920840,753.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
136,Luthor Corp,F1920841,1915.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
137,Luthor Corp,F1920842,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
138,Luthor Corp,F1920851,428.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
139,Luthor Corp,F1920864,275.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
140,Luthor Corp,F1920865,310.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:15,contact@luther.fr,4
141,Luthor Corp,F1920876,423.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
142,Luthor Corp,F1920889,1123.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
143,Luthor Corp,F1920890,8350.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
144,Luthor Corp,F1920891,1213.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
145,Luthor Corp,F1920897,180061.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
146,Luthor Corp,F1920898,640.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
147,Luthor Corp,F1920899,428.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
148,Luthor Corp,F1920900,60.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
149,Luthor Corp,F1920901,260.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
150,Luthor Corp,F1920902,1916.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
151,Luthor Corp,F1920927,7797.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
152,Luthor Corp,F1920928,1778.049999999988,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
153,Luthor Corp,F1920967,64443.5,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
154,Luthor Corp,F1920968,14013.0,2021-02-26,2021-05-27,21,2021-12-26 22:49:16,contact@luther.fr,4
155,Sofroco-Gedec,W7214783,2067.760000000009,2021-04-28,2021-05-28,21,2021-12-26 22:49:16,contact@sofroco-gedec.fr,21
156,Cordell SA,57807,2756.0,2021-04-29,2021-05-29,21,2021-12-26 22:49:16,,10
157,Sienar Technologies,12564,3791.0,2021-04-29,2021-05-29,21,2021-12-26 22:49:16,,8
158,Drake & Sweeney,FAC7835,2153.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
159,Drake & Sweeney,FAC7836,2386.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
160,Drake & Sweeney,FAC7854,4191.0,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,,5
161,Geugène Industrie,2104076,2924.339999999997,2021-04-30,2021-05-30,21,2021-12-26 22:49:16,contact@geugene.fr,3
162,Bross & Clackwell,P21040186,18293.0,2021-04-30,2021-05-31,22,2021-12-26 22:51:54,,22
163,Bross & Clackwell,P21060024,35995.0,2021-06-11,2021-05-31,22,2021-12-26 22:51:54,,22
164,World Company,9475942057,436.61,2021-03-09,2021-05-31,22,2021-12-26 22:51:54,,23
165,World Company,9475955458,439.36,2021-03-09,2021-05-31,22,2021-12-26 22:51:54,,23
166,World Company,9475968550,403.02,2021-03-10,2021-05-31,22,2021-12-26 22:51:54,,23
167,World Company,9476206864,866.11,2021-03-26,2021-05-31,22,2021-12-26 22:51:54,,23
168,World Company,9476400756,433.38,2021-04-08,2021-05-31,22,2021-12-26 22:51:54,,23
169,Groupe W.,27953,6101.0,2021-02-22,2021-06-02,22,2021-12-26 22:51:54,,24
170,Luthor Corp,F1920980,1993.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
171,Luthor Corp,F1920996,2266.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
172,Luthor Corp,F1921058,4509.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
173,Luthor Corp,F1921072,2285.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
174,Luthor Corp,F1921086,50261.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
175,Luthor Corp,F1921087,1645.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
176,Luthor Corp,F1921090,275.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
177,Luthor Corp,F1921093,613.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
178,Luthor Corp,F1921094,785.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
179,Luthor Corp,F1921095,570.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
180,Luthor Corp,F1921116,253.0,2021-03-05,2021-06-03,22,2021-12-26 22:51:54,contact@luther.fr,4
181,Sienar Technologies,12640,245.0,2021-05-05,2021-06-04,22,2021-12-26 22:51:54,,8
182,Altra Automotive,FF30434,5455.0,2021-05-31,2021-06-07,23,2021-12-26 22:52:35,,13
183,Sienar Technologies,12121,10863.0,2021-04-09,2021-06-08,23,2021-12-26 22:52:35,,8
184,Vladis Entreprise,190/1,52.0,2021-04-09,2021-06-08,23,2021-12-26 22:52:35,contact@vladisentreprise.fr,20
185,Luthor Corp,F1921118,310.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
186,Luthor Corp,F1921119,448.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
187,Luthor Corp,F1921121,4885.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
188,Luthor Corp,F1921122,260.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
189,Luthor Corp,F1921123,753.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
190,Luthor Corp,F1921129,205.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
191,Luthor Corp,F1921130,310.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
192,Luthor Corp,F1921131,423.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
193,Luthor Corp,F1921144,925.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
194,Luthor Corp,F1921145,34260.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
195,Luthor Corp,F1921146,373.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
196,Luthor Corp,F1921147,178.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
197,Luthor Corp,F1921148,640.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
198,Luthor Corp,F1921149,654.12,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
199,Luthor Corp,F1921177,3364.94,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
200,Luthor Corp,F1921178,720.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
201,Luthor Corp,F1921180,988.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
202,Luthor Corp,F1921183,1825.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
203,Luthor Corp,F1921203,5597.83,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
204,Luthor Corp,F1921204,1013.0,2021-03-12,2021-06-10,23,2021-12-26 22:52:35,contact@luther.fr,4
205,Sienar Technologies,12239,1605.0,2021-04-13,2021-06-12,23,2021-12-26 22:52:35,,8
206,Sienar Technologies,12254,395.0,2021-04-14,2021-06-13,23,2021-12-26 22:52:35,,8
207,Cross Technological Enterprises ,21/01166,773.0,2021-04-09,2021-06-14,24,2021-12-26 22:54:01,,25
208,Geugène Industrie,2105004,2559.44,2021-05-15,2021-06-14,24,2021-12-26 22:54:01,contact@geugene.fr,3
209,Wayne Enterprises,202106045,1380.0,2021-06-07,2021-06-14,24,2021-12-26 22:54:01,,26
210,Wernham Hogg Paper Company,009/2021,3089.0,2021-06-07,2021-06-14,24,2021-12-26 22:54:01,,18
211,Luthor Corp,F1921268,465.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
212,Luthor Corp,F1921269,640.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
213,Luthor Corp,F1921287,25657.35,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
214,Luthor Corp,F1921288,3575.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
215,Luthor Corp,F1921289,3005.64,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
216,Luthor Corp,F1921290,1048.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
217,Luthor Corp,F1921314,265.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
218,Luthor Corp,F1921315,220.15,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
219,Luthor Corp,F1921316,553.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
220,Luthor Corp,F1921333,435.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
221,Luthor Corp,F1921334,260.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
222,Luthor Corp,F1921358,2153.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
223,Luthor Corp,F1921359,1195.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
224,Luthor Corp,F1921360,260.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
225,Luthor Corp,F1921361,528.0,2021-03-19,2021-06-17,24,2021-12-26 22:54:01,contact@luther.fr,4
226,Sienar Technologies,12379,805.0,2021-04-19,2021-06-18,24,2021-12-26 22:54:01,,8
227,Sienar Technologies,12947,300.0,2021-05-20,2021-06-19,24,2021-12-26 22:54:01,,8
228,Vladis Entreprise,203/1,373.0,2021-04-20,2021-06-19,24,2021-12-26 22:54:01,contact@vladisentreprise.fr,20
229,Rosen Corporation,2521465,341.72,2021-06-15,2021-06-22,25,2021-12-26 22:54:15,contact@rosencorporation.fr,27
230,Luthor Corp,F1921384,940.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
231,Luthor Corp,F1921390,42273.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
232,Luthor Corp,F1921391,465.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
233,Luthor Corp,F1921392,552.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
234,Luthor Corp,F1921393,1493.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
235,Luthor Corp,F1921394,43.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
236,Luthor Corp,F1921408,994.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
237,Luthor Corp,F1921443,-1642.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
238,Luthor Corp,F1921472,1149.0,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
239,Luthor Corp,F1921498,54655.8,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
240,Luthor Corp,F1921499,1172.4,2021-03-26,2021-06-24,25,2021-12-26 22:54:15,contact@luther.fr,4
